urn of en allw scholion	scholion text after en allw	urn of iliad line for that scholion	text of corresponding Iliad line in VenA	text of a similar Iliad line in OCT	words that intersect between two lines	urn of OCT line
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	τοὶ γὰρ ἐγὼ καὶ ταῦτα μάλ' ἀτρεκέως καταλέξω	καὶ, γὰρ, ἐγὼ	urn:cts:greekLit:tlg0012.tlg001.omar:10.427
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	σοὶ δ' ἐγὼ ἐνθάδε φημὶ φόνον καὶ κῆρα μέλαιναν	καὶ, ἐγὼ, σοὶ	urn:cts:greekLit:tlg0012.tlg001.omar:11.443
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	εἰ γὰρ ὁμηλικίη γε γενοίμεθα τῷδ' ἐπὶ θυμῷ	γὰρ, γε, θυμῷ	urn:cts:greekLit:tlg0012.tlg001.omar:13.485
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	ἄλλο δέ τοι ἐρέω καὶ ἀπειλήσω τό γε θυμῷ	καὶ, γε, θυμῷ	urn:cts:greekLit:tlg0012.tlg001.omar:15.212
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	ὡς καὶ νῦν ἔσσεσθαι ὀί̈ομαι οὐ γὰρ ἄτερ γε	καὶ, γὰρ, γε	urn:cts:greekLit:tlg0012.tlg001.omar:15.292
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	σοὶ γὰρ ἐγὼ καὶ ἔπειτα κατηφείη καὶ ὄνειδος	καὶ, γὰρ, ἐγὼ, σοὶ	urn:cts:greekLit:tlg0012.tlg001.omar:16.498
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	καὶ Δαναῶν οὐδ' οἳ γὰρ ἀναιμωτί γε μάχοντο	καὶ, γὰρ, γε	urn:cts:greekLit:tlg0012.tlg001.omar:17.363
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	αὖτις γὰρ δὴ τόν γε κίχον λαός τε καὶ ἵπποι	καὶ, γὰρ, γε	urn:cts:greekLit:tlg0012.tlg001.omar:18.153
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	εἴ περ γὰρ θυμῷ γε μενοινάᾳ πολεμίζειν	γὰρ, γε, θυμῷ	urn:cts:greekLit:tlg0012.tlg001.omar:19.164
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	καὶ γὰρ σοὶ ποταμός γε πάρα μέγας εἰ δύναταί τι	καὶ, γὰρ, σοὶ, γε	urn:cts:greekLit:tlg0012.tlg001.omar:21.192
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	εἰ σύ γε σῷ θυμῷ ἐθέλοις κέλομαι γὰρ ἔγωγε	γὰρ, γε, θυμῷ	urn:cts:greekLit:tlg0012.tlg001.omar:23.894
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	οὐ μὲν γὰρ τιμή γε μί' ἔσσεται ἀλλὰ καὶ ̔́Εκτωρ	καὶ, γὰρ, γε	urn:cts:greekLit:tlg0012.tlg001.omar:24.66
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	σοὶ δ' αὖ ἐγὼ καὶ τῶνδ' ἀποδάσσομαι ὅσς' ἐπέοικεν	καὶ, ἐγὼ, σοὶ	urn:cts:greekLit:tlg0012.tlg001.omar:24.595
---	---	---	---	---	---	---
urn:cts:greekLit:tlg5026.msA.hmt:7.2046	καὶ ἐνταῦθα οὗτοι οἱ στίχου κεῖνται κέκλυτέ μευ Τρῶες καὶ Δάρδανοι ἠδ' ἐπίκουροι ὄφρ' εἴπω τά με θυμὸς ἐνὶ στήθεσσι κελεύει	urn:cts:greekLit:tlg0012.tlg001.msA:7.367	ὅ σφιν ἔϋφρονέων ἀγορήσατο καὶ μετέειπεν	ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν	ὅ, σφιν, ἀγορήσατο, καὶ, μετέειπεν	urn:cts:greekLit:tlg0012.tlg001.omar:1.73
urn:cts:greekLit:tlg5026.msA.hmt:7.2046	καὶ ἐνταῦθα οὗτοι οἱ στίχου κεῖνται κέκλυτέ μευ Τρῶες καὶ Δάρδανοι ἠδ' ἐπίκουροι ὄφρ' εἴπω τά με θυμὸς ἐνὶ στήθεσσι κελεύει	urn:cts:greekLit:tlg0012.tlg001.msA:7.367	ὅ σφιν ἔϋφρονέων ἀγορήσατο καὶ μετέειπεν	ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν	ὅ, σφιν, ἀγορήσατο, καὶ, μετέειπεν	urn:cts:greekLit:tlg0012.tlg001.omar:1.253
urn:cts:greekLit:tlg5026.msA.hmt:7.2046	καὶ ἐνταῦθα οὗτοι οἱ στίχου κεῖνται κέκλυτέ μευ Τρῶες καὶ Δάρδανοι ἠδ' ἐπίκουροι ὄφρ' εἴπω τά με θυμὸς ἐνὶ στήθεσσι κελεύει	urn:cts:greekLit:tlg0012.tlg001.msA:7.367	ὅ σφιν ἔϋφρονέων ἀγορήσατο καὶ μετέειπεν	ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν	ὅ, σφιν, ἀγορήσατο, καὶ, μετέειπεν	urn:cts:greekLit:tlg0012.tlg001.omar:2.78
urn:cts:greekLit:tlg5026.msA.hmt:7.2046	καὶ ἐνταῦθα οὗτοι οἱ στίχου κεῖνται κέκλυτέ μευ Τρῶες καὶ Δάρδανοι ἠδ' ἐπίκουροι ὄφρ' εἴπω τά με θυμὸς ἐνὶ στήθεσσι κελεύει	urn:cts:greekLit:tlg0012.tlg001.msA:7.367	ὅ σφιν ἔϋφρονέων ἀγορήσατο καὶ μετέειπεν	ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν	ὅ, σφιν, ἀγορήσατο, καὶ, μετέειπεν	urn:cts:greekLit:tlg0012.tlg001.omar:2.283
urn:cts:greekLit:tlg5026.msA.hmt:7.2046	καὶ ἐνταῦθα οὗτοι οἱ στίχου κεῖνται κέκλυτέ μευ Τρῶες καὶ Δάρδανοι ἠδ' ἐπίκουροι ὄφρ' εἴπω τά με θυμὸς ἐνὶ στήθεσσι κελεύει	urn:cts:greekLit:tlg0012.tlg001.msA:7.367	ὅ σφιν ἔϋφρονέων ἀγορήσατο καὶ μετέειπεν	ὅ σφιν ἐϋφρονέων ἀγορήσατο καὶ μετέειπεν	ὅ, σφιν, ἀγορήσατο, καὶ, μετέειπεν	urn:cts:greekLit:tlg0012.tlg001.omar:7.326
urn:cts:greekLit:tlg5026.msA.hmt:7.2046	καὶ ἐνταῦθα οὗτοι οἱ στίχου κεῖνται κέκλυτέ μευ Τρῶες καὶ Δάρδανοι ἠδ' ἐπίκουροι ὄφρ' εἴπω τά με θυμὸς ἐνὶ στήθεσσι κελεύει	urn:cts:greekLit:tlg0012.tlg001.msA:7.367	ὅ σφιν ἔϋφρονέων ἀγορήσατο καὶ μετέειπεν	ὅ σφιν ἐϋφρονέων ἀγορήσατο καὶ μετέειπεν	ὅ, σφιν, ἀγορήσατο, καὶ, μετέειπεν	urn:cts:greekLit:tlg0012.tlg001.omar:9.95
urn:cts:greekLit:tlg5026.msA.hmt:7.2046	καὶ ἐνταῦθα οὗτοι οἱ στίχου κεῖνται κέκλυτέ μευ Τρῶες καὶ Δάρδανοι ἠδ' ἐπίκουροι ὄφρ' εἴπω τά με θυμὸς ἐνὶ στήθεσσι κελεύει	urn:cts:greekLit:tlg0012.tlg001.msA:7.367	ὅ σφιν ἔϋφρονέων ἀγορήσατο καὶ μετέειπεν	ὅ σφιν ἐϋφρονέων ἀγορήσατο καὶ μετέειπεν	ὅ, σφιν, ἀγορήσατο, καὶ, μετέειπεν	urn:cts:greekLit:tlg0012.tlg001.omar:15.285
urn:cts:greekLit:tlg5026.msA.hmt:7.2046	καὶ ἐνταῦθα οὗτοι οἱ στίχου κεῖνται κέκλυτέ μευ Τρῶες καὶ Δάρδανοι ἠδ' ἐπίκουροι ὄφρ' εἴπω τά με θυμὸς ἐνὶ στήθεσσι κελεύει	urn:cts:greekLit:tlg0012.tlg001.msA:7.367	ὅ σφιν ἔϋφρονέων ἀγορήσατο καὶ μετέειπεν	ὅ σφιν ἐϋφρονέων ἀγορήσατο καὶ μετέειπεν	ὅ, σφιν, ἀγορήσατο, καὶ, μετέειπεν	urn:cts:greekLit:tlg0012.tlg001.omar:18.253
---	---	---	---	---	---	---
---	---	---	---	---	---	---
urn:cts:greekLit:tlg5026.msA.hmt:18.140	έοικεν	urn:cts:greekLit:tlg0012.tlg001.msA:18.381	τόφρά οἱ ἐγγύθεν ἦλθε θεὰ Θετις ἀργυρόπεζα	τόφρά οἱ ἐγγύθεν ἦλθεν ἀγαυοῦ Νέστορος υἱὸς	τόφρά, οἱ, ἐγγύθεν	urn:cts:greekLit:tlg0012.tlg001.omar:18.16
---	---	---	---	---	---	---
---	---	---	---	---	---	---
urn:cts:greekLit:tlg5026.msAim.hmt:3.749	ἀκόντισε δουρὶ φαεινῷ	urn:cts:greekLit:tlg0012.tlg001.msA:3.338	εἵλετο δ' ἄλκιμον ἔγχος ὅ οἱ παλάμηφιν ἀρήρει	ἀγχίμολον δέ οἱ ἦλθε Θόας ἐκ δ' ὄβριμον ἔγχος	δ', ἔγχος, οἱ	urn:cts:greekLit:tlg0012.tlg001.omar:4.529
urn:cts:greekLit:tlg5026.msAim.hmt:3.749	ἀκόντισε δουρὶ φαεινῷ	urn:cts:greekLit:tlg0012.tlg001.msA:3.338	εἵλετο δ' ἄλκιμον ἔγχος ὅ οἱ παλάμηφιν ἀρήρει	αἴθωνος μεγάλοιο ποδηνεκές εἵλετο δ' ἔγχος	εἵλετο, δ', ἔγχος	urn:cts:greekLit:tlg0012.tlg001.omar:10.24
urn:cts:greekLit:tlg5026.msAim.hmt:3.749	ἀκόντισε δουρὶ φαεινῷ	urn:cts:greekLit:tlg0012.tlg001.msA:3.338	εἵλετο δ' ἄλκιμον ἔγχος ὅ οἱ παλάμηφιν ἀρήρει	εἵλετο δ' ἄλκιμον ἔγχος ἀκαχμένον ὀξέϊ χαλκῷ	εἵλετο, δ', ἄλκιμον, ἔγχος	urn:cts:greekLit:tlg0012.tlg001.omar:10.135
urn:cts:greekLit:tlg5026.msAim.hmt:3.749	ἀκόντισε δουρὶ φαεινῷ	urn:cts:greekLit:tlg0012.tlg001.msA:3.338	εἵλετο δ' ἄλκιμον ἔγχος ὅ οἱ παλάμηφιν ἀρήρει	αἴθωνος μεγάλοιο ποδηνεκές εἵλετο δ' ἔγχος	εἵλετο, δ', ἔγχος	urn:cts:greekLit:tlg0012.tlg001.omar:10.178
urn:cts:greekLit:tlg5026.msAim.hmt:3.749	ἀκόντισε δουρὶ φαεινῷ	urn:cts:greekLit:tlg0012.tlg001.msA:3.338	εἵλετο δ' ἄλκιμον ἔγχος ὅ οἱ παλάμηφιν ἀρήρει	γνῶ δ' ̓Οδυσεὺς ὅ οἱ οὔ τι τέλος κατακαίριον ἦλθεν	δ', ὅ, οἱ	urn:cts:greekLit:tlg0012.tlg001.omar:11.439
urn:cts:greekLit:tlg5026.msAim.hmt:3.749	ἀκόντισε δουρὶ φαεινῷ	urn:cts:greekLit:tlg0012.tlg001.msA:3.338	εἵλετο δ' ἄλκιμον ἔγχος ὅ οἱ παλάμηφιν ἀρήρει	ἔνθά οἱ ἔγχος ἔπηξεν ὃ δ' ἑσπόμενος περὶ δουρὶ	δ', ἔγχος, οἱ	urn:cts:greekLit:tlg0012.tlg001.omar:13.570
urn:cts:greekLit:tlg5026.msAim.hmt:3.749	ἀκόντισε δουρὶ φαεινῷ	urn:cts:greekLit:tlg0012.tlg001.msA:3.338	εἵλετο δ' ἄλκιμον ἔγχος ὅ οἱ παλάμηφιν ἀρήρει	εἵλετο δ' ἄλκιμον ἔγχος ἀκαχμένον ὀξέϊ χαλκῷ	εἵλετο, δ', ἄλκιμον, ἔγχος	urn:cts:greekLit:tlg0012.tlg001.omar:14.12
urn:cts:greekLit:tlg5026.msAim.hmt:3.749	ἀκόντισε δουρὶ φαεινῷ	urn:cts:greekLit:tlg0012.tlg001.msA:3.338	εἵλετο δ' ἄλκιμον ἔγχος ὅ οἱ παλάμηφιν ἀρήρει	εἵλετο δ' ἄλκιμον ἔγχος ἀκαχμένον ὀξέϊ χαλκῷ	εἵλετο, δ', ἄλκιμον, ἔγχος	urn:cts:greekLit:tlg0012.tlg001.omar:15.482
urn:cts:greekLit:tlg5026.msAim.hmt:3.749	ἀκόντισε δουρὶ φαεινῷ	urn:cts:greekLit:tlg0012.tlg001.msA:3.338	εἵλετο δ' ἄλκιμον ἔγχος ὅ οἱ παλάμηφιν ἀρήρει	εἵλετο δ' ἄλκιμα δοῦρε τά οἱ παλάμηφιν ἀρήρει	εἵλετο, δ', οἱ, παλάμηφιν, ἀρήρει	urn:cts:greekLit:tlg0012.tlg001.omar:16.139
urn:cts:greekLit:tlg5026.msAim.hmt:3.749	ἀκόντισε δουρὶ φαεινῷ	urn:cts:greekLit:tlg0012.tlg001.msA:3.338	εἵλετο δ' ἄλκιμον ἔγχος ὅ οἱ παλάμηφιν ἀρήρει	ὣς ἄρ' ὅ γε προθορὼν πέσεν ὕπτιος ἐν δέ οἱ ἔγχος	ἔγχος, ὅ, οἱ	urn:cts:greekLit:tlg0012.tlg001.omar:17.523
---	---	---	---	---	---	---
---	---	---	---	---	---	---
urn:cts:greekLit:tlg5026.msAim.hmt:5.6023	υἱὸς μὲν ἀμύμονος Ἀγχίσαο	urn:cts:greekLit:tlg0012.tlg001.msA:5.75	ήριπε δ' ἐν κονίης ψυχρὸν δ' έλε χαλκὸν ὀδοῦσιν	ἐν δ' ἐρέτας ἐπιτηδὲς ἀγείρομεν ἐς δ' ἑκατόμβην	δ', ἐν, δ'	urn:cts:greekLit:tlg0012.tlg001.omar:1.142
urn:cts:greekLit:tlg5026.msAim.hmt:5.6023	υἱὸς μὲν ἀμύμονος Ἀγχίσαο	urn:cts:greekLit:tlg0012.tlg001.msA:5.75	ήριπε δ' ἐν κονίης ψυχρὸν δ' έλε χαλκὸν ὀδοῦσιν	ἐν δ' ἐρέτας ἔκρινεν ἐείκοσιν ἐς δ' ἑκατόμβην	δ', ἐν, δ'	urn:cts:greekLit:tlg0012.tlg001.omar:1.309
urn:cts:greekLit:tlg5026.msAim.hmt:5.6023	υἱὸς μὲν ἀμύμονος Ἀγχίσαο	urn:cts:greekLit:tlg0012.tlg001.msA:5.75	ήριπε δ' ἐν κονίης ψυχρὸν δ' έλε χαλκὸν ὀδοῦσιν	λαοὶ ἕποντ' ἐν δ' αὐτὸς ἐδύσετο νώροπα χαλκὸν	δ', ἐν, χαλκὸν	urn:cts:greekLit:tlg0012.tlg001.omar:2.578
urn:cts:greekLit:tlg5026.msAim.hmt:5.6023	υἱὸς μὲν ἀμύμονος Ἀγχίσαο	urn:cts:greekLit:tlg0012.tlg001.msA:5.75	ήριπε δ' ἐν κονίης ψυχρὸν δ' έλε χαλκὸν ὀδοῦσιν	ἐν δ' ̓́Ερις ἐν δ' ̓Αλκή ἐν δὲ κρυόεσσα ̓Ιωκή	δ', ἐν, δ'	urn:cts:greekLit:tlg0012.tlg001.omar:5.740
urn:cts:greekLit:tlg5026.msAim.hmt:5.6023	υἱὸς μὲν ἀμύμονος Ἀγχίσαο	urn:cts:greekLit:tlg0012.tlg001.msA:5.75	ήριπε δ' ἐν κονίης ψυχρὸν δ' έλε χαλκὸν ὀδοῦσιν	τῷ δ' ἅμ' ̓Αλέξανδρος κί' ἀδελφεός ἐν δ' ἄρα θυμῷ	δ', ἐν, δ'	urn:cts:greekLit:tlg0012.tlg001.omar:7.2
urn:cts:greekLit:tlg5026.msAim.hmt:5.6023	υἱὸς μὲν ἀμύμονος Ἀγχίσαο	urn:cts:greekLit:tlg0012.tlg001.msA:5.75	ήριπε δ' ἐν κονίης ψυχρὸν δ' έλε χαλκὸν ὀδοῦσιν	̔Ρῆσος δ' ἐν μέσῳ εὗδε παρ' αὐτῷ δ' ὠκέες ἵπποι	δ', ἐν, δ'	urn:cts:greekLit:tlg0012.tlg001.omar:10.474
urn:cts:greekLit:tlg5026.msAim.hmt:5.6023	υἱὸς μὲν ἀμύμονος Ἀγχίσαο	urn:cts:greekLit:tlg0012.tlg001.msA:5.75	ήριπε δ' ἐν κονίης ψυχρὸν δ' έλε χαλκὸν ὀδοῦσιν	ἄλλοτε δ' ἐν πυμάτοισι κελεύων πᾶς δ' ἄρα χαλκῷ	δ', ἐν, δ'	urn:cts:greekLit:tlg0012.tlg001.omar:11.65
